exp,date,water_lab,trt_lab,stage,bioreactor,flow_rate_ml_min,hours_elapsed,duplicate_key_count
BR15-1,2015-03-10,UCSB intake,ambient,1,1,4,6,1
BR15-1,2015-03-10,UCSB intake,ambient,1,3,4,1,1
BR15-1,2015-03-10,UCSB intake,ambient,1,3,4,3,1
BR15-1,2015-03-10,UCSB intake,ambient,1,3,4,4,1
BR15-1,2015-03-10,UCSB intake,ambient,1,3,4,5,1
BR15-1,2015-03-10,UCSB intake,ambient,1,3,4,6,1
BR15-1,2015-03-10,UCSB intake,ambient,1,5,4,1,1
BR15-1,2015-03-10,UCSB intake,ambient,1,5,4,3,1
BR15-1,2015-03-10,UCSB intake,ambient,1,5,4,4,1
BR15-1,2015-03-10,UCSB intake,ambient,1,5,4,5,1
BR15-1,2015-03-10,UCSB intake,ambient,1,5,4,6,1
BR15-1,2015-03-10,UCSB intake,ambient,1,7,4,1,1
BR15-1,2015-03-10,UCSB intake,ambient,1,7,4,3,1
BR15-1,2015-03-10,UCSB intake,ambient,1,7,4,4,1
BR15-1,2015-03-10,UCSB intake,ambient,1,7,4,5,1
BR15-1,2015-03-10,UCSB intake,ambient,1,7,4,6,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,0,NA,NA,0,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,1,4,1,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,1,4,3,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,1,4,4,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,1,4,5,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,3,4,1,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,3,4,3,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,3,4,4,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,3,4,5,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,5,4,1,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,5,4,3,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,5,4,4,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,5,4,5,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,5,4,6,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,7,4,1,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,7,4,3,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,7,4,4,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,7,4,5,1
BR15-1,2015-03-11,UCSB intake,diatom exudate,1,7,4,6,1
BR15-10,2015-09-10,Goleta Pier,surface,0,NA,NA,0,1
BR15-10,2015-09-10,Goleta Pier,surface,1,1,4,4,1
BR15-10,2015-09-10,Goleta Pier,surface,1,5,4,4,1
BR15-10,2015-09-10,Goleta Pier,surface,2,1_3,4,4,1
BR15-10,2015-09-10,Goleta Pier,surface,2,5_7,4,4,1
BR15-11,2015-09-23,Goleta Pier,surface,0,NA,NA,0,1
BR15-11,2015-09-23,Goleta Pier,surface,1,1,4,4,1
BR15-11,2015-09-23,Goleta Pier,surface,2,1_2,4,4,1
BR15-11,2015-09-23,Goleta Pier,surface,3,1_2_3,4,4,1
BR15-3,2015-03-19,UCSB intake,ambient,0,NA,NA,0,1
BR15-3,2015-03-19,UCSB intake,ambient,1,1,4,4,1
BR15-3,2015-03-19,UCSB intake,ambient,1,2,4,4,1
BR15-4,2015-04-06,UCSB intake,ambient,0,NA,NA,0,1
BR15-4,2015-04-06,UCSB intake,ambient,1,1,4,4,1
BR15-4,2015-04-06,UCSB intake,ambient,1,1,20,4,1
BR15-4,2015-04-06,UCSB intake,ambient,1,3,4,4,1
BR15-4,2015-04-06,UCSB intake,ambient,1,3,20,4,1
BR15-4,2015-04-06,UCSB intake,ambient,1,5,4,4,1
BR15-4,2015-04-06,UCSB intake,ambient,1,5,20,4,1
BR15-4,2015-04-06,UCSB intake,ambient,1,7,4,4,1
BR15-4,2015-04-06,UCSB intake,ambient,1,7,20,4,1
BR15-4,2015-04-06,UCSB intake,ambient,2,1_2,4,4,1
BR15-4,2015-04-06,UCSB intake,ambient,2,1_2,20,4,1
BR15-4,2015-04-06,UCSB intake,ambient,2,3_4,4,4,1
BR15-4,2015-04-06,UCSB intake,ambient,2,3_4,20,4,1
BR15-4,2015-04-06,UCSB intake,ambient,2,5_6,4,4,1
BR15-4,2015-04-06,UCSB intake,ambient,2,5_6,20,4,1
BR15-4,2015-04-06,UCSB intake,ambient,2,7_8,4,4,1
BR15-4,2015-04-06,UCSB intake,ambient,2,7_8,20,4,1
BR15-5,2015-04-08,UCSB intake,ambient,0,NA,NA,0,1
BR15-5,2015-04-08,UCSB intake,ambient,1,1,4,4,1
BR15-5,2015-04-08,UCSB intake,ambient,1,5,4,4,1
BR15-6,2015-04-14,Santa Barbara Channel,200 m,0,NA,NA,0,1
BR15-6,2015-04-14,Santa Barbara Channel,200 m,1,1,4,4,1
BR15-6,2015-04-14,Santa Barbara Channel,200 m,1,3,4,4,1
BR15-6,2015-04-14,Santa Barbara Channel,200 m,1,5,4,4,1
BR15-6,2015-04-14,Santa Barbara Channel,200 m,1,7,4,4,1
BR15-6,2015-04-14,Santa Barbara Channel,75 m,0,NA,NA,0,1
BR15-6,2015-04-14,Santa Barbara Channel,75 m,1,1,4,4,1
BR15-6,2015-04-14,Santa Barbara Channel,75 m,1,3,4,4,1
BR15-6,2015-04-14,Santa Barbara Channel,75 m,1,5,4,4,1
BR15-6,2015-04-14,Santa Barbara Channel,75 m,1,7,4,4,1
BR15-6,2015-04-14,Santa Barbara Channel,surface,0,NA,NA,0,1
BR15-6,2015-04-14,Santa Barbara Channel,surface,1,1,4,4,1
BR15-6,2015-04-14,Santa Barbara Channel,surface,1,3,4,4,1
BR15-6,2015-04-14,Santa Barbara Channel,surface,1,5,4,4,1
BR15-6,2015-04-14,Santa Barbara Channel,surface,1,7,4,4,1
BR15-6,2015-04-14,UCSB intake,ambient,0,NA,NA,0,1
BR15-6,2015-04-14,UCSB intake,ambient,1,1,4,4,1
BR15-6,2015-04-14,UCSB intake,ambient,1,3,4,4,1
BR15-6,2015-04-14,UCSB intake,ambient,1,5,4,4,1
BR15-7,2015-07-17,Goleta Pier,surface,0,NA,NA,0,1
BR15-7,2015-07-17,Goleta Pier,surface,1,1,4,4,1
BR15-7,2015-07-17,Goleta Pier,surface,1,2,4,4,1
BR15-7,2015-07-17,Goleta Pier,surface,1,3,4,4,1
BR15-7,2015-07-17,Goleta Pier,surface,1,4,4,4,1
BR15-7,2015-07-17,Goleta Pier,surface,1,5,4,4,1
BR15-7,2015-07-17,Goleta Pier,surface,1,6,4,4,1
BR15-7,2015-07-17,Goleta Pier,surface,1,7,4,4,1
BR15-7,2015-07-17,Goleta Pier,surface,1,8,4,4,1
BR15-7,2015-07-17,UCSB intake,ambient,0,NA,NA,0,1
BR15-7,2015-07-17,UCSB intake,ambient,1,1,4,4,1
BR15-7,2015-07-17,UCSB intake,ambient,1,2,4,4,1
BR15-7,2015-07-17,UCSB intake,ambient,1,3,4,4,1
BR15-7,2015-07-17,UCSB intake,ambient,1,4,4,4,1
BR15-7,2015-07-17,UCSB intake,ambient,1,5,4,4,1
BR15-7,2015-07-17,UCSB intake,ambient,1,6,4,4,1
BR15-7,2015-07-17,UCSB intake,ambient,1,7,4,4,1
BR15-7,2015-07-17,UCSB intake,ambient,1,8,4,4,1
BR16-1,2016-01-21,Goleta Pier,surface,0,NA,NA,0,1
BR16-1,2016-01-21,Goleta Pier,surface,1,1,4,7,1
BR16-1,2016-01-22,Goleta Pier,surface,0,NA,NA,0,1
BR16-1,2016-01-22,Goleta Pier,surface,1,1,4,7,1
BR16-1,2016-01-23,Goleta Pier,surface,0,NA,NA,0,1
BR16-1,2016-01-23,Goleta Pier,surface,1,1,4,7,1
BR16-1,2016-01-24,Goleta Pier,surface,0,NA,NA,0,1
BR16-1,2016-01-24,Goleta Pier,surface,1,1,4,7,1
BR16-2,2016-10-11,Stearns Wharf,surface,0,NA,NA,0,1
BR16-2,2016-10-11,Stearns Wharf,surface,1,5,4,7,1
BR16-2,2016-10-11,Stearns Wharf,surface,2,5_6,4,7,1
BR16-2,2016-10-11,Stearns Wharf,surface,3,5_6_8,4,7,1
BR16-2,2016-10-11,Stearns Wharf,surface,4,5_6_8_9,4,7,1
