ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,domain,phylum,class,order,family,genus,species,direction,significant
ASV_563,34.288569778859674,-10.60383441889414,3.022288910730261,-3.508544263007598,4.5056625226830397e-4,0.009205310921505753,Bacteria,Pseudomonadota,Gammaproteobacteria_2,Nitrosococcales_2,Nitrosococcaceae_2,AqS1_2,NA,Enriched at bottom,TRUE
ASV_558,34.495519632954526,-10.585392973263692,3.0222815511822656,-3.502450977514939,4.609986072506133e-4,0.009205310921505753,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_770,23.734675045256488,-10.06714780655104,2.8439522376174122,-3.5398441905568108,4.003633252272705e-4,0.009205310921505753,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_180,117.52958869870977,-10.046989253049057,2.8343403170595667,-3.5447363863038572,3.930059265540015e-4,0.009205310921505753,Bacteria,Chloroflexota,Anaerolineae_2,Anaerolineales_2,Anaerolineaceae_2,NA,NA,Enriched at bottom,TRUE
ASV_138,145.18945183517377,-9.853008570906606,2.745745083278187,-3.5884644320815644,3.326313614235619e-4,0.009205310921505753,Bacteria,Pseudomonadota,Alphaproteobacteria_2,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_107,177.11961138104863,-9.787199946583542,2.7880594205398244,-3.510398621521683,4.4743538681989896e-4,0.009205310921505753,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup 9,Incertae sedis (Acidobacteriota),Incertae Sedis_116,NA,Enriched at bottom,TRUE
ASV_420,48.960904891188946,-9.04373759289334,2.5526540286231696,-3.5428763520183266,3.9578822877531065e-4,0.009205310921505753,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_115,169.83562125653305,-8.011425546590516,2.2924153517052592,-3.49475305189832,4.7450056296421413e-4,0.009205310921505753,Bacteria,Pseudomonadota,Alphaproteobacteria_2,Sphingomonadales_2,Sphingomonadaceae_2,Altererythrobacter_2,NA,Enriched at bottom,TRUE
ASV_668,21.521739347759762,-9.90846361041759,2.851482709670271,-3.4748461131519006,5.111464869771513e-4,0.009285493696539188,Bacteria,Myxococcota,Polyangiia,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_986,18.352204498308215,-9.847203259529719,2.8399485533197826,-3.467387903213509,5.255428890912326e-4,0.009285493696539188,Bacteria,Planctomycetota,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_260,50.86515588740902,8.767421887879946,2.534766561379382,3.458867582310557,5.424515217909491e-4,0.009285493696539188,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Enriched at top,TRUE
ASV_352,58.11772340141506,-8.719876482170303,2.5193890965474455,-3.461107493923811,5.379579596158788e-4,0.009285493696539188,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_380,44.65539301306061,10.363399784442118,3.022134096270856,3.429166097305203,6.054388871239682e-4,0.009709352576425023,Bacteria,Rhodothermota,Rhodothermia_2,Rhodothermales_2,Rhodothermaceae_2,Incertae Sedis_977,NA,Enriched at top,TRUE
ASV_161,118.8904301812609,-9.2969492996654175,2.71618269740013,-3.422799691848509,6.197973236443248e-4,0.009709352576425023,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Enriched at bottom,TRUE
ASV_402,51.95100115823371,-8.458604227540038,2.47018671425502,-3.424277273748942,6.164369104849929e-4,0.009709352576425023,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA,Enriched at bottom,TRUE
ASV_291,61.88359444717579,-8.400898157247395,2.4588042553348313,-3.4166600041544952,6.339439826531802e-4,0.009709352576425023,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales_2,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_19,53.92385931594961,-10.334497936851113,3.047068291552435,-3.3916200583695626,6.94807152190033e-4,0.009802669435519907,Bacteria,Pseudomonadota,Alphaproteobacteria_2,Pelagibacterales,Clade I_2,NA,NA,Enriched at bottom,TRUE
