exp,date,water_lab,trt_lab,beads,bioreactor,flow_rate_ml_min,effluent_doc,effluent_sd,effluent_se,effluent_n_vials,influent_doc,influent_sd,influent_se,influent_n_vials,removal_doc,pct_removal,flow_rate_factor
BR15-4,2015-04-06,UCSB intake,ambient,mixed,7,20,60.11693783896538,0.7873458485552427,0.5567375886524886,2,59.811973299958275,0.5875905428761499,0.23988283462192142,6,-0.3049645390071021,-0.5098720576860065,20
BR15-4,2015-04-06,UCSB intake,ambient,homogeneous,1,4,53.6286398467433,0.9529686217715225,0.6738505747126418,2,59.811973299958275,0.5875905428761499,0.23988283462192142,6,6.183333453214978,10.337952607257135,4
BR15-4,2015-04-06,UCSB intake,ambient,homogeneous,3,4,55.24070881226054,0.5343939179656997,0.3778735632183938,2,59.811973299958275,0.5875905428761499,0.23988283462192142,6,4.571264487697732,7.642724751401775,4
BR15-4,2015-04-06,UCSB intake,ambient,mixed,5,4,54.03812260536398,0.7355536057170456,0.520114942528739,2,59.811973299958275,0.5875905428761499,0.23988283462192142,6,5.7738506945942945,9.653335905903514,4
BR15-4,2015-04-06,UCSB intake,ambient,mixed,7,4,60.42605363984674,NA,NA,1,59.811973299958275,0.5875905428761499,0.23988283462192142,6,-0.6140803398884671,-1.0266846352131564,4
BR15-5,2015-04-08,UCSB intake,ambient,homogeneous,1,4,57.58922716627635,1.3061547733087147,0.754108809973101,3,61.40707780379912,0.5950014246477099,0.34352423268856613,3,3.817850637522767,6.217281092126102,4
BR15-5,2015-04-08,UCSB intake,ambient,mixed,5,4,57.717187093416605,0.7438145102645357,0.525956284153004,2,61.40707780379912,0.5950014246477099,0.34352423268856613,3,3.689890710382514,6.008901322697737,4
BR15-6,2015-04-14,UCSB intake,ambient,homogeneous,1,4,53.8632298136646,0.12297509238026717,0.08695652173912904,2,55.95670807453416,0.41517375899438286,0.20758687949719143,4,2.09347826086956,3.7412462828961512,4
BR15-6,2015-04-14,UCSB intake,ambient,homogeneous,3,4,53.21250517598344,0.5636358400762266,0.3985507246376762,2,55.95670807453416,0.41517375899438286,0.20758687949719143,4,2.744202898550725,4.904153573322175,4
BR15-6,2015-04-14,UCSB intake,ambient,mixed,5,4,54.64438923395445,0.4365615779499507,0.3086956521739097,2,55.95670807453416,0.41517375899438286,0.20758687949719143,4,1.3123188405797137,2.3452395355918885,4
