ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,domain,phylum,class,order,family,genus,species,direction,significant
ASV_46,241.37271258568546,1.065665455169794,2.017518947815432,0.528205921596769,0.5973564198408241,0.8983499647218595,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_50,298.47959179763944,-1.0023708727633673,1.884610126263623,-0.5318717430170242,0.5948148292582159,0.8983499647218595,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Fuerstia,NA,Not significant,FALSE
ASV_4,1301.122333223291,-0.8531891574611854,1.610749834825337,-0.5296844606249497,0.5963307237129055,0.8983499647218595,Archaea,Thermoproteota,Nitrososphaeria_2,Nitrosopumilales_2,Nitrosopumilaceae_2,NA,NA,Not significant,FALSE
ASV_132,126.16671477059869,1.1465824295282094,2.1960242469038276,0.5221173815110534,0.601588605138123,0.9023829077071844,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,Incertae sedis (Dadabacteria),CSP1-2,NA,Not significant,FALSE
ASV_543,30.500373958401653,-1.4677462150444538,2.8418255064906077,-0.5164800624430262,0.6055191604197092,0.903892543170517,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Bythopirellula,NA,Not significant,FALSE
ASV_385,47.86977397794825,1.252797428061133,2.426870146134473,0.5162193906652125,0.6057011887225114,0.903892543170517,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Incertae sedis (Planctomycetota),Incertae Sedis_744,NA,Not significant,FALSE
ASV_136,94.68755847795929,1.5283457887388114,2.991411989370992,0.5109111664221746,0.6094132617835163,0.9071061850588401,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_741,18.437298895361955,-1.5122696411720877,3.049230497647298,-0.4959512383005854,0.6199288144313417,0.9125409973037204,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_148,98.6027222259634,-1.5109605486233881,3.0419835998450053,-0.49670239796834353,0.6193989311754016,0.9125409973037204,Archaea,Thermoproteota,Nitrososphaeria_2,Nitrosopumilales_2,Nitrosopumilaceae_2,NA,NA,Not significant,FALSE
ASV_549,18.95888759209768,1.495212531837169,2.992149071529771,0.4997119114365262,0.6172779440481764,0.9125409973037204,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_455,29.95426748419264,1.4795930688363261,2.991680025583577,0.49456929089457247,0.6209041837324283,0.9125409973037204,Bacteria,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_551,32.75496028337546,-1.1055230977182513,2.214624088508247,-0.499192212102652,0.6176439804906956,0.9125409973037204,Bacteria,Gemmatimonadota,BD2-11 terrestrial group,Incertae Sedis_95,Incertae sedis (Gemmatimonadota),Incertae Sedis_571,NA,Not significant,FALSE
ASV_83,173.91210834782476,1.100670820432166,2.2373996918325996,0.49194197373408655,0.6227603646463444,0.9129635572397291,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,Incertae Sedis_743,NA,Not significant,FALSE
ASV_618,24.627374633577695,-1.3757900087282935,2.8269413812486888,-0.4866708654993734,0.6264915949237707,0.9161259001146597,Bacteria,Pseudomonadota,Alphaproteobacteria_2,Rhodobacterales_2,Paracoccaceae,NA,NA,Not significant,FALSE
ASV_117,163.14939165539818,-1.2185908768911757,2.5266561608138502,-0.48229390915567266,0.6295971734808234,0.9171248206467645,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Mariniblastus,NA,Not significant,FALSE
ASV_82,205.82799014570853,-1.0664411613972828,2.2159006981252376,-0.48126757769404793,0.6303263372142711,0.9171248206467645,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Not significant,FALSE
ASV_892,18.86965909313076,-1.4314760126709938,3.044477235927884,-0.470187786519847,0.6382208592851188,0.923991393293381,Bacteria,Pseudomonadota,Gammaproteobacteria_2,Pseudomonadales_2,Halieaceae_2,NA,NA,Not significant,FALSE
ASV_382,38.82763546369912,1.4054189345798207,2.9889039826402617,0.4702121388785255,0.6382034623620518,0.923991393293381,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_391,36.816944631683754,1.3300282095746916,2.8544506358106636,0.4659489265250382,0.6412520588387653,0.9260761743031302,Bacteria,Pseudomonadota,Gammaproteobacteria_2,Salinisphaerales_2,Salinisphaeraceae_2,Salinisphaera_2,NA,Not significant,FALSE
ASV_597,26.412597368302748,-1.3938802378063708,3.0484661103368413,-0.45723986665948324,0.6474986463385091,0.9304795362197834,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,NA,Not significant,FALSE
