exp,date,bioreactor,beads,flow_rate_ml_min,effluent_mean,effluent_sd,effluent_se,effluent_n_vials,influent_mean,influent_sd,influent_se,influent_n_vials,conditioning_start,days_conditioning,months_conditioning,doc_removal,propagated_se_delta,z_value,p_value,exceeds_detection_limit
BR14-5,2014-10-24,3,homogenous,4,60.20402938844287,0.22115835866883943,0.12768583791099025,3,63.15412355040143,0.19308483040265195,0.11147757880940434,3,2014-09-19,35,1.1498973305954825,2.9500941619585603,0.1695019875406735,17.40448123801887,7.629400262217759e-68,TRUE
BR14-5,2014-10-24,5,mixed,4,60.83020641292497,0.973844535472412,0.5622494047038432,3,63.15412355040143,0.19308483040265195,0.11147757880940434,3,2014-09-19,35,1.1498973305954825,2.3239171374764567,0.5731942460170313,4.054327400570951,5.0278757392494013e-5,TRUE
BR14-5,2014-10-24,7,mixed,4,61.37540415303797,0.2182709946752357,0.1260188175320347,3,63.15412355040143,0.19308483040265195,0.11147757880940434,3,2014-09-19,35,1.1498973305954825,1.77871939736346,0.16824979331154974,10.571896478171528,4.0227621516499607e-26,TRUE
BR14-6,2014-10-30,1,homogenous,4,61.17983339169002,0.9256477598210536,0.5344229833074594,3,60.923997724089645,0.650493509377232,0.3755626027450493,3,2014-09-19,41,1.3470225872689938,-0.2558356676003726,0.6531884824978781,-0.391672043300616,0.6953005491484576,FALSE
BR14-6,2014-10-30,3,homogenous,4,61.95481004901961,2.072051106920003,1.196299264354926,3,60.923997724089645,0.650493509377232,0.3755626027450493,3,2014-09-19,41,1.3470225872689938,-1.0308123249299683,1.253865701930144,-0.8221074420834564,0.41101575029473436,FALSE
BR14-6,2014-10-30,5,mixed,4,61.3343618697479,0.560535627663281,0.3963585434173637,2,60.923997724089645,0.650493509377232,0.3755626027450493,3,2014-09-19,41,1.3470225872689938,-0.4103641456582565,0.5460287204173147,-0.7515431520609879,0.45232584104476964,FALSE
BR14-6,2014-10-30,7,mixed,4,64.12287727591037,1.0101525445522022,0.7142857142857082,2,60.923997724089645,0.650493509377232,0.3755626027450493,3,2014-09-19,41,1.3470225872689938,-3.198879551820724,0.8070014561407434,-3.9639080295077314,7.37326685227798e-5,FALSE
BR14-7,2014-11-03,1,homogenous,4,62.43764595103579,0.2734768702495674,0.15789194465572412,3,63.52521657250471,0.669684192004285,0.386642348525711,3,2014-09-19,45,1.4784394250513346,1.0875706214689203,0.41763880550140886,2.604093793830304,0.009211754371365285,FALSE
BR14-7,2014-11-03,3,homogenous,4,61.78322033898305,0.29871907442730733,0.17246553803268175,3,63.52521657250471,0.669684192004285,0.386642348525711,3,2014-09-19,45,1.4784394250513346,1.741996233521661,0.42336351694776414,4.114658358095116,3.877532845861097e-5,TRUE
BR14-7,2014-11-03,5,mixed,4,61.108079096045195,0.4417299963569952,0.2550329323058436,3,63.52521657250471,0.669684192004285,0.386642348525711,3,2014-09-19,45,1.4784394250513346,2.4171374764595157,0.46317826183230404,5.218590067024027,1.802903011551059e-7,TRUE
BR14-7,2014-11-03,7,mixed,4,61.63915254237289,0.6077211638849848,0.35086797756122867,3,63.52521657250471,0.669684192004285,0.386642348525711,3,2014-09-19,45,1.4784394250513346,1.88606403013182,0.5221117153937309,3.6123763832985736,3.0340375347506576e-4,TRUE
BR14-8,2014-11-15,1,homogenous,4,71.03093955979286,1.0975051918134302,0.6336449179304958,3,72.74939530367233,0.11746114625024186,0.06781622440689915,3,2014-09-19,57,1.8726899383983573,1.718455743879474,0.6372636207347409,2.6966167343714984,0.007004784099030205,TRUE
BR14-8,2014-11-15,3,homogenous,4,72.52905632062148,1.5820016121461724,1.118644067796609,2,72.74939530367233,0.11746114625024186,0.06781622440689915,3,2014-09-19,57,1.8726899383983573,0.2203389830508513,1.1206978141806787,0.19660873811192095,0.8441337320577956,FALSE
BR14-8,2014-11-15,5,mixed,4,70.85768155602638,0.8680930838706943,0.5011937756543977,3,72.74939530367233,0.11746114625024186,0.06781622440689915,3,2014-09-19,57,1.8726899383983573,1.8917137476459516,0.5057610513350328,3.740331017290649,1.837780666340518e-4,TRUE
BR14-8,2014-11-15,7,mixed,4,72.61851018126178,1.3850577567067082,0.7996634686777973,3,72.74939530367233,0.11746114625024186,0.06781622440689915,3,2014-09-19,57,1.8726899383983573,0.13088512241054673,0.8025339266539535,0.1630898309262175,0.8704477063458483,FALSE
BR15-1,2015-03-10,1,homogenous,4,55.61364035087719,NA,NA,1,62.86393274853801,1.0216460966971324,0.41708527243568283,6,2014-09-19,172,5.650924024640657,7.250292397660822,NA,NA,NA,TRUE
BR15-1,2015-03-10,3,homogenous,4,55.88557017543859,1.7739696440294088,1.2543859649122806,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,2014-09-19,172,5.650924024640657,6.9783625730994245,1.3219093287558195,5.279002440861399,1.2988907504939035e-7,TRUE
BR15-1,2015-03-10,5,mixed,4,59.70109508547009,0.6383602885711892,0.4513888888888892,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,2014-09-19,172,5.650924024640657,3.1628376630679256,0.6145828288319596,5.146316354264292,2.656512791439444e-7,TRUE
BR15-1,2015-03-10,7,mixed,4,58.63859508547009,1.389661243581896,0.9826388888888892,2,62.86393274853801,1.0216460966971324,0.41708527243568283,6,2014-09-19,172,5.650924024640657,4.225337663067926,1.0674920657501574,3.958191164726512,7.551950641154247e-5,TRUE
