	domain	phylum	class	order	family	genus	species
ASV_18	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Enterobacterales_2	Vibrionaceae_2	NA	NA
ASV_19	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Pelagibacterales	Clade I_2	NA	NA
ASV_20	Bacteria	Chloroflexota	Anaerolineae_2	Ardenticatenales_2	Incertae Sedis_170	Incertae Sedis_420	NA
ASV_21	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	NA	NA
ASV_22	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Marinomonadaceae_2	Marinomonas_2	NA
ASV_23	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	SAR86 clade_2	Incertae Sedis_952	NA
ASV_24	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV_25	Bacteria	Actinomycetota	Acidimicrobiia_2	Actinomarinales_2	Actinomarinaceae_2	Candidatus Actinomarina_2	NA
ASV_26	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Fuerstia	NA
ASV_27	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales_2	Puniceicoccaceae_2	MB11C04 marine group_2	NA
ASV_28	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Halieaceae_2	OM60(NOR5) clade_2	NA
ASV_29	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_30	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodospirillales_2	AEGEAN-169 marine group_2	Incertae Sedis_812	NA
ASV_31	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA
ASV_32	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Burkholderiales_2	Methylophilaceae_2	OM43 clade_2	NA
ASV_33	Bacteria	NA	NA	NA	NA	NA	NA
ASV_34	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Nitrincolaceae_2	Incertae Sedis_948	NA
ASV_35	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales_2	Puniceicoccaceae_2	MB11C04 marine group_2	NA
ASV_36	NA	NA	NA	NA	NA	NA	NA
ASV_37	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bremerella	NA
ASV_38	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	NA	NA
ASV_39	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Ectothiorhodospirales_2	Ectothiorhodospiraceae_2	Incertae Sedis_877	NA
ASV_40	NA	NA	NA	NA	NA	NA	NA
ASV_41	Bacteria	Cyanobacteriota	Cyanobacteriia_2	Synechococcales_2	Cyanobiaceae_2	Synechococcus CC9902_2	NA
ASV_42	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_43	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NA
ASV_44	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodobacterales_2	Paracoccaceae	Incertae Sedis_811	NA
ASV_45	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	NA
ASV_46	NA	NA	NA	NA	NA	NA	NA
ASV_47	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NA
ASV_48	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Enterobacterales_2	Pseudoalteromonadaceae_2	Pseudoalteromonas_2	NA
ASV_49	NA	NA	NA	NA	NA	NA	NA
ASV_50	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Fuerstia	NA
ASV_51	NA	NA	NA	NA	NA	NA	NA
ASV_52	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Marinomonadaceae_2	Marinomonas_2	NA
ASV_53	NA	NA	NA	NA	NA	NA	NA
ASV_54	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_55	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Incertae Sedis_742	NA
ASV_56	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquibacter	NA
ASV_57	Archaea	Thermoproteota	Nitrososphaeria_2	Nitrosopumilales_2	Nitrosopumilaceae_2	Candidatus Nitrosopumilus_2	NA
ASV_58	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Incertae Sedis_80	Incertae Sedis_117	NA
ASV_59	Bacteria	Pseudomonadota	NA	NA	NA	NA	NA
ASV_60	NA	NA	NA	NA	NA	NA	NA
ASV_61	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_62	Archaea	Thermoproteota	Nitrososphaeria_2	Nitrosopumilales_2	Nitrosopumilaceae_2	NA	NA
ASV_63	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Incertae Sedis_742	NA
ASV_64	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Marinomonadaceae_2	Marinomonas_2	NA
ASV_65	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales_2	Puniceicoccaceae_2	MB11C04 marine group_2	NA
ASV_66	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Puniceispirillales_2	SAR116 clade_2	NA	NA
ASV_67	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Incertae Sedis_745	NA
ASV_68	NA	NA	NA	NA	NA	NA	NA
ASV_69	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodobacterales_2	Paracoccaceae	NA	NA
ASV_70	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA
ASV_71	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_72	NA	NA	NA	NA	NA	NA	NA
ASV_73	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Burkholderiales_2	Nitrosomonadaceae_2	Nitrosomonas_2	NA
ASV_74	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_75	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Pelagibacterales	Clade IV_2	Incertae Sedis_805	NA
ASV_76	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_77	Archaea	Thermoproteota	Nitrososphaeria_2	Nitrosopumilales_2	Nitrosopumilaceae_2	Candidatus Nitrosopumilus_2	NA
ASV_78	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	NA
ASV_79	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	NA
ASV_80	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_81	NA	NA	NA	NA	NA	NA	NA
ASV_82	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_83	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	Incertae Sedis_743	NA
ASV_84	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_85	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_86	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Fuerstia	NA
ASV_87	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales_2	Puniceicoccaceae_2	MB11C04 marine group_2	NA
ASV_88	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV_89	NA	NA	NA	NA	NA	NA	NA
ASV_90	NA	NA	NA	NA	NA	NA	NA
ASV_91	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_92	Bacteria	Entotheonellaeota	Entotheonellia	Entotheonellales	Entotheonellaceae	Candidatus Entotheonella	NA
ASV_93	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Enterobacterales_2	Alteromonadaceae_2	Alteromonas_2	NA
ASV_94	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Nitrosococcales_2	Nitrosococcaceae_2	AqS1_2	NA
ASV_95	NA	NA	NA	NA	NA	NA	NA
ASV_96	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_97	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_98	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Pelagibacterales	Clade IV_2	Incertae Sedis_805	NA
ASV_99	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	Incertae Sedis_237	CSP1-2	NA
ASV_100	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NA
ASV_101	Bacteria	Latescibacterota	Incertae Sedis_30	Incertae Sedis_102	Incertae Sedis_269	Incertae Sedis_592	NA
ASV_102	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Fuerstia	NA
ASV_103	Bacteria	Planctomycetota	OM190	Incertae Sedis_134	Incertae Sedis_372	Incertae Sedis_714	NA
ASV_104	NA	NA	NA	NA	NA	NA	NA
ASV_105	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_106	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	NA
ASV_107	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 9	Incertae Sedis_79	Incertae Sedis_116	NA
ASV_108	Bacteria	NA	NA	NA	NA	NA	NA
ASV_109	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	NA
ASV_110	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Incertae Sedis_342	NA
ASV_111	NA	NA	NA	NA	NA	NA	NA
ASV_112	Bacteria	Balneolota	Balneolia	Balneolales_2	Balneolaceae_2	Balneola_2	NA
ASV_113	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	Incertae Sedis_743	NA
ASV_114	NA	NA	NA	NA	NA	NA	NA
ASV_115	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Sphingomonadales_2	Sphingomonadaceae_2	Altererythrobacter_2	NA
ASV_116	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodospirillales_2	AEGEAN-169 marine group_2	Incertae Sedis_812	NA
ASV_117	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_118	Archaea	Thermoproteota	Nitrososphaeria_2	Nitrosopumilales_2	Nitrosopumilaceae_2	NA	NA
ASV_119	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquibacter	NA
ASV_120	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bremerella	NA
ASV_121	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_122	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Pelagibacterales	Clade I_2	NA	NA
ASV_123	Archaea	Thermoproteota	Nitrososphaeria_2	Nitrosopumilales_2	Nitrosopumilaceae_2	NA	NA
ASV_124	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales_2	DEV007_2	Incertae Sedis_1063	NA
ASV_125	Archaea	Thermoproteota	Nitrososphaeria_2	Nitrosopumilales_2	Nitrosopumilaceae_2	Candidatus Nitrosopelagicus_2	NA
ASV_126	NA	NA	NA	NA	NA	NA	NA
ASV_127	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Puniceispirillales_2	SAR116 clade_2	Incertae Sedis_809	NA
ASV_128	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodobacterales_2	Paracoccaceae	Planktomarina_2	NA
ASV_129	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA
ASV_130	Bacteria	Thermodesulfobacteriota	Desulfuromonadia_2	PB19_2	Incertae Sedis_486	Incertae Sedis_1017	NA
ASV_131	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	Incertae Sedis_237	CSP1-2	NA
ASV_132	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	Incertae Sedis_237	CSP1-2	NA
ASV_133	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodospirillales_2	AEGEAN-169 marine group_2	Incertae Sedis_812	NA
ASV_134	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Burkholderiales_2	Nitrosomonadaceae_2	IS-44_2	NA
ASV_135	NA	NA	NA	NA	NA	NA	NA
ASV_136	NA	NA	NA	NA	NA	NA	NA
ASV_137	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	NA
ASV_138	Bacteria	Pseudomonadota	Alphaproteobacteria_2	NA	NA	NA	NA
ASV_139	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	SAR86 clade_2	Incertae Sedis_952	NA
ASV_140	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_141	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Porticoccaceae_2	Porticoccus_2	NA
ASV_142	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_143	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA
ASV_144	Bacteria	Chloroflexota	Anaerolineae_2	Ardenticatenales_2	Incertae Sedis_170	Incertae Sedis_420	NA
ASV_145	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV_146	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Halieaceae_2	OM60(NOR5) clade_2	NA
ASV_147	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales_2	Rubritaleaceae_2	Roseibacillus_2	NA
ASV_148	Archaea	Thermoproteota	Nitrososphaeria_2	Nitrosopumilales_2	Nitrosopumilaceae_2	NA	NA
ASV_149	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	NA
ASV_150	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Calorithrix	NA
ASV_151	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales_2	DEV007_2	Incertae Sedis_1063	NA
ASV_152	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodospirillales_2	AEGEAN-169 marine group_2	Incertae Sedis_812	NA
ASV_153	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NA
ASV_154	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Fuerstia	NA
ASV_155	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Pelagibacterales	NA	NA	NA
ASV_156	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	NA
ASV_157	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Hyphomicrobiales	Rhizobiaceae_2	NA	NA
ASV_158	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Burkholderiales_2	Methylophilaceae_2	OM43 clade_2	NA
ASV_159	NA	NA	NA	NA	NA	NA	NA
ASV_160	Bacteria	Planctomycetota	Pla3 lineage	Incertae Sedis_135	Incertae Sedis_383	Incertae Sedis_737	NA
ASV_161	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_162	NA	NA	NA	NA	NA	NA	NA
ASV_163	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	KI89A clade_2	Incertae Sedis_945	NA
ASV_164	Bacteria	Planctomycetota	Pla3 lineage	Incertae Sedis_135	Incertae Sedis_383	Incertae Sedis_737	NA
ASV_165	Bacteria	Cyanobacteriota	Cyanobacteriia_2	Synechococcales_2	Cyanobiaceae_2	Prochlorococcus MIT9313_2	NA
ASV_166	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales_2	Rubritaleaceae_2	Roseibacillus_2	NA
ASV_167	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	Incertae Sedis_237	CSP1-2	NA
ASV_168	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Gammaproteobacteria Incertae Sedis_2	Unknown Family_7	Marinicella_2	NA
ASV_169	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodobacterales_2	Paracoccaceae	NA	NA
ASV_170	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Steroidobacterales_2	Woeseiaceae_2	Woeseia_2	NA
ASV_171	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_172	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Fuerstia	NA
ASV_173	NA	NA	NA	NA	NA	NA	NA
ASV_174	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_175	Bacteria	Marinimicrobia (SAR406 clade)	Incertae Sedis_33	Incertae Sedis_105	Incertae Sedis_272	Incertae Sedis_596	NA
ASV_176	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Porticoccaceae_2	SAR92 clade_2	NA
ASV_177	NA	NA	NA	NA	NA	NA	NA
ASV_178	NA	NA	NA	NA	NA	NA	NA
ASV_179	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Pseudohongiellaceae_2	Pseudohongiella_2	NA
ASV_180	Bacteria	Chloroflexota	Anaerolineae_2	Anaerolineales_2	Anaerolineaceae_2	NA	NA
ASV_181	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bremerella	NA
ASV_182	NA	NA	NA	NA	NA	NA	NA
ASV_183	NA	NA	NA	NA	NA	NA	NA
ASV_184	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	Incertae Sedis_237	CSP1-2	NA
ASV_185	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodobacterales_2	Paracoccaceae	NA	NA
ASV_186	Bacteria	Pseudomonadota	Gammaproteobacteria_2	UBA10353 marine group_2	Incertae Sedis_465	Incertae Sedis_971	NA
ASV_187	Bacteria	NA	NA	NA	NA	NA	NA
ASV_188	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Pelagibacterales	Clade IV_2	Incertae Sedis_805	NA
ASV_189	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA
ASV_190	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	SAR86 clade_2	Incertae Sedis_952	NA
ASV_191	NA	NA	NA	NA	NA	NA	NA
ASV_192	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Parvibaculales_2	OCS116 clade_2	Incertae Sedis_799	NA
ASV_193	NA	NA	NA	NA	NA	NA	NA
ASV_194	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales_2	DEV007_2	Incertae Sedis_1063	NA
ASV_195	Bacteria	Cyanobacteriota	Cyanobacteriia_2	Synechococcales_2	Cyanobiaceae_2	Synechococcus CC9902_2	NA
ASV_196	NA	NA	NA	NA	NA	NA	NA
ASV_197	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_198	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_199	NA	NA	NA	NA	NA	NA	NA
ASV_200	Bacteria	Planctomycetota	OM190	Incertae Sedis_134	Incertae Sedis_372	Incertae Sedis_714	NA
ASV_201	NA	NA	NA	NA	NA	NA	NA
ASV_202	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Pelagibacterales	Clade I_2	NA	NA
ASV_203	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_204	NA	NA	NA	NA	NA	NA	NA
ASV_205	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Hyphomicrobiales	Hyphomicrobiaceae_2	Incertae Sedis_777	NA
ASV_206	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_207	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Puniceispirillales_2	SAR116 clade_2	Incertae Sedis_809	NA
ASV_208	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_209	Bacteria	Actinomycetota	Acidimicrobiia_2	Microtrichales_2	Microtrichaceae_2	Sva0996 marine group_2	NA
ASV_210	NA	NA	NA	NA	NA	NA	NA
ASV_211	NA	NA	NA	NA	NA	NA	NA
ASV_212	NA	NA	NA	NA	NA	NA	NA
ASV_213	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Incertae Sedis_342	NA
ASV_214	Bacteria	NA	NA	NA	NA	NA	NA
ASV_215	NA	NA	NA	NA	NA	NA	NA
ASV_216	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	NA
ASV_217	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_218	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodobacterales_2	Paracoccaceae	NA	NA
ASV_219	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Nitrincolaceae_2	NA	NA
ASV_220	NA	NA	NA	NA	NA	NA	NA
ASV_221	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_222	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Incertae Sedis_745	NA
ASV_223	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_224	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 9	Incertae Sedis_79	Incertae Sedis_116	NA
ASV_225	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	SAR86 clade_2	Incertae Sedis_952	NA
ASV_226	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_227	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales_2	Rubritaleaceae_2	Roseibacillus_2	NA
ASV_228	NA	NA	NA	NA	NA	NA	NA
ASV_229	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NA
ASV_230	NA	NA	NA	NA	NA	NA	NA
ASV_231	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_232	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_233	Bacteria	Acidobacteriota	NA	NA	NA	NA	NA
ASV_234	NA	NA	NA	NA	NA	NA	NA
ASV_235	NA	NA	NA	NA	NA	NA	NA
ASV_236	NA	NA	NA	NA	NA	NA	NA
ASV_237	NA	NA	NA	NA	NA	NA	NA
ASV_238	Archaea	Thermoproteota	Nitrososphaeria_2	Nitrosopumilales_2	Nitrosopumilaceae_2	Candidatus Nitrosopumilus_2	NA
ASV_239	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV_240	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Fuerstia	NA
ASV_241	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_242	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_243	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Porticoccaceae_2	SAR92 clade_2	NA
ASV_244	Bacteria	Planctomycetota	OM190	Incertae Sedis_134	Incertae Sedis_372	Incertae Sedis_714	NA
ASV_245	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_246	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_247	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Incertae Sedis_742	NA
ASV_248	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Incertae Sedis_745	NA
ASV_249	NA	NA	NA	NA	NA	NA	NA
ASV_250	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	NA
ASV_251	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NA
ASV_252	Bacteria	Actinomycetota	Acidimicrobiia_2	Microtrichales_2	Microtrichaceae_2	Sva0996 marine group_2	NA
ASV_253	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_254	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Steroidobacterales_2	Woeseiaceae_2	Woeseia_2	NA
ASV_255	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_256	NA	NA	NA	NA	NA	NA	NA
ASV_257	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Francisellales_2	Francisellaceae_2	Incertae Sedis_905	NA
ASV_258	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter	NA
