	N-Amend-BR5-10-FT_S119_F_filt.fastq	N-Amend-C-T4_S125_F_filt.fastq	N-Amend-D-T4_S126_F_filt.fastq	N-Amend-T0_S124_F_filt.fastq	N-BR10-B_S107_F_filt.fastq	N-BR10-T_S108_F_filt.fastq	N-BR5-B_S99_F_filt.fastq	N-BR5-T_S100_F_filt.fastq	N-BR6-B_S101_F_filt.fastq	N-BR6-T_S102_F_filt.fastq	N-BR8-B_S103_F_filt.fastq	N-BR8-T_S104_F_filt.fastq	N-BR9-B_S105_F_filt.fastq	N-BR9-T_S106_F_filt.fastq	N-Control-A-T4_S122_F_filt.fastq	N-Control-B-T4_S123_F_filt.fastq	N-Control-T0_S121_F_filt.fastq	N-NEG_S128_F_filt.fastq
ASV_105	42	0	0	0	127	637	120	39	162	176	87	0	143	0	0	0	0	0
ASV_106	0	510	619	186	0	0	0	0	0	0	0	0	0	0	73	66	62	0
ASV_107	0	0	0	0	180	0	232	0	0	347	233	245	277	0	0	0	0	0
ASV_108	29	0	0	0	339	0	93	45	0	94	361	32	491	0	0	0	0	0
ASV_109	0	0	0	0	75	0	148	601	172	178	54	149	105	0	0	0	0	0
ASV_110	137	233	311	299	0	0	0	0	0	0	0	0	5	0	163	148	184	0
ASV_111	0	0	0	0	72	1093	66	0	17	152	33	0	43	0	0	0	0	0
ASV_112	121	0	0	365	0	0	0	0	0	0	0	0	0	0	287	347	336	0
ASV_113	129	0	0	0	162	0	335	61	0	32	134	201	198	196	0	0	0	0
ASV_114	48	0	0	0	100	243	144	347	84	109	71	177	103	0	0	0	0	0
ASV_115	0	0	0	0	322	117	43	0	134	22	390	0	395	0	0	0	0	0
ASV_116	194	0	8	302	18	0	0	0	0	0	13	0	0	0	206	207	472	0
ASV_117	0	0	0	0	167	0	217	0	0	214	143	326	175	171	0	0	0	0
ASV_118	0	0	0	0	240	257	423	0	0	0	236	0	252	0	0	0	0	0
ASV_119	0	0	0	0	155	72	189	149	0	259	120	298	165	0	0	0	0	0
ASV_120	0	0	0	0	70	488	0	311	72	119	113	161	60	0	0	0	0	0
ASV_121	259	0	0	383	0	0	0	0	0	0	0	0	0	0	153	174	404	0
ASV_122	255	0	0	378	0	0	0	0	0	0	0	0	0	0	257	115	362	0
ASV_123	122	0	0	0	0	0	210	461	141	0	139	175	118	0	0	0	0	0
ASV_124	0	0	0	0	261	0	184	0	0	95	283	155	387	0	0	0	0	0
ASV_125	0	0	0	0	159	72	467	125	0	0	201	98	236	0	0	0	0	0
ASV_126	0	374	304	32	0	0	0	0	0	0	0	0	0	0	277	340	0	0
ASV_127	135	0	0	379	0	0	0	0	0	0	0	0	0	0	142	148	522	0
ASV_128	0	0	0	444	0	0	0	0	0	0	0	0	0	0	289	432	154	0
ASV_129	138	0	0	0	64	353	90	0	0	224	97	78	115	147	0	0	0	0
ASV_130	1016	0	0	0	60	51	0	0	0	86	39	25	21	0	0	0	0	0
ASV_131	0	0	0	0	144	0	327	0	102	140	243	76	266	0	0	0	0	0
ASV_132	138	0	0	0	45	0	56	107	0	183	60	279	107	312	0	0	0	0
ASV_133	177	0	0	300	0	0	0	0	0	0	0	0	0	0	203	187	416	0
ASV_134	56	7	0	193	0	0	0	0	0	0	0	0	0	0	361	505	153	0
ASV_135	0	0	0	0	33	110	113	222	91	71	78	270	66	199	0	0	0	0
ASV_136	0	0	0	0	0	667	0	45	519	19	0	0	0	0	0	0	0	0
ASV_137	109	0	0	344	0	0	0	0	0	0	0	0	0	0	199	325	250	0
ASV_138	0	0	0	0	182	0	264	0	0	119	238	118	300	0	0	0	0	0
ASV_139	312	0	0	308	0	0	0	0	0	0	0	0	0	0	116	159	322	0
ASV_140	0	0	0	0	0	449	0	0	185	0	0	41	0	537	0	0	0	0
ASV_141	0	0	7	92	0	0	0	0	0	0	0	0	0	0	462	535	78	0
ASV_142	61	0	0	0	229	230	32	44	31	36	114	72	157	165	0	0	0	0
ASV_143	218	0	0	0	0	857	0	0	0	0	0	0	0	92	0	0	0	0
ASV_144	0	0	0	0	217	122	242	0	0	334	0	0	230	0	0	0	0	0
ASV_145	253	0	0	265	0	0	0	0	0	14	0	0	0	0	132	221	233	0
ASV_146	130	0	0	311	0	0	0	0	0	0	0	0	0	0	195	205	277	0
ASV_147	0	0	0	0	173	89	172	0	168	123	104	0	250	36	0	0	0	0
ASV_148	162	0	0	0	185	0	0	0	542	195	0	0	0	0	0	0	0	0
ASV_149	0	0	0	340	0	0	0	0	0	0	0	0	0	0	231	348	160	0
ASV_150	0	0	0	0	27	0	185	433	0	100	0	64	46	222	0	0	0	0
