	N-Amend-BR5-10-FT_S119_F_filt.fastq	N-Amend-C-T4_S125_F_filt.fastq	N-Amend-D-T4_S126_F_filt.fastq	N-Amend-T0_S124_F_filt.fastq	N-BR10-B_S107_F_filt.fastq	N-BR10-T_S108_F_filt.fastq	N-BR5-B_S99_F_filt.fastq	N-BR5-T_S100_F_filt.fastq	N-BR6-B_S101_F_filt.fastq	N-BR6-T_S102_F_filt.fastq	N-BR8-B_S103_F_filt.fastq	N-BR8-T_S104_F_filt.fastq	N-BR9-B_S105_F_filt.fastq	N-BR9-T_S106_F_filt.fastq	N-Control-A-T4_S122_F_filt.fastq	N-Control-B-T4_S123_F_filt.fastq	N-Control-T0_S121_F_filt.fastq	N-NEG_S128_F_filt.fastq
ASV_2151	0	0	0	0	0	0	0	11	0	25	0	12	0	0	0	0	0	0
ASV_2152	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0
ASV_2153	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0
ASV_2154	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0
ASV_2155	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0
ASV_2156	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0
ASV_2157	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0
ASV_2158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	0	0
ASV_2159	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2160	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2161	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2162	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2163	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2164	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2165	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2166	43	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV_2167	28	0	0	0	4	0	0	0	0	15	0	0	0	0	0	0	0	0
ASV_2168	26	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0
ASV_2169	0	24	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2170	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2171	0	0	0	0	20	0	0	0	12	0	15	0	0	0	0	0	0	0
ASV_2172	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2173	0	0	0	0	0	25	0	0	0	0	0	22	0	0	0	0	0	0
ASV_2174	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0
ASV_2175	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0
ASV_2176	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0
ASV_2177	0	0	0	0	0	0	0	17	30	0	0	0	0	0	0	0	0	0
ASV_2178	0	0	0	0	0	0	0	14	0	0	10	0	23	0	0	0	0	0
ASV_2179	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0
ASV_2180	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0
ASV_2181	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0
ASV_2182	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0
ASV_2183	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2184	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2185	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2186	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2187	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2188	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2189	35	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
ASV_2190	0	0	0	0	30	0	0	0	0	16	0	0	0	0	0	0	0	0
ASV_2191	0	0	0	0	8	0	0	0	0	19	0	0	19	0	0	0	0	0
ASV_2192	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0
ASV_2193	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0
ASV_2194	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0
ASV_2195	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0
ASV_2196	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0
ASV_2197	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0
ASV_2198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0
ASV_2199	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2200	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2201	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2202	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2203	21	0	0	18	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV_2204	0	0	0	0	32	0	0	0	4	0	5	0	4	0	0	0	0	0
ASV_2205	0	0	0	0	16	0	0	0	0	0	10	0	19	0	0	0	0	0
ASV_2206	0	0	0	0	14	0	31	0	0	0	0	0	0	0	0	0	0	0
ASV_2207	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2208	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2209	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2210	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2211	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0
ASV_2212	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0
ASV_2213	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0
ASV_2214	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0
ASV_2215	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0
ASV_2216	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0
ASV_2217	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0
ASV_2218	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0
ASV_2219	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0
ASV_2220	0	0	0	0	0	0	0	33	0	0	0	12	0	0	0	0	0	0
ASV_2221	0	0	0	0	0	0	0	26	0	0	0	19	0	0	0	0	0	0
ASV_2222	0	0	0	0	0	0	0	25	0	0	0	0	20	0	0	0	0	0
ASV_2223	0	0	0	0	0	0	0	22	0	23	0	0	0	0	0	0	0	0
ASV_2224	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0
ASV_2225	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0
ASV_2226	0	0	0	0	0	0	0	0	0	29	0	0	16	0	0	0	0	0
ASV_2227	0	0	0	0	0	0	0	0	0	0	0	10	20	15	0	0	0	0
ASV_2228	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0
ASV_2229	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0
ASV_2230	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2231	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2232	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2233	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2234	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2235	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2236	38	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
ASV_2237	0	16	9	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
ASV_2238	0	0	0	13	0	0	0	0	0	0	0	0	0	0	15	0	16	0
ASV_2239	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2240	0	0	0	0	10	0	18	0	0	7	0	0	9	0	0	0	0	0
ASV_2241	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2242	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2243	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2244	0	0	0	0	0	0	35	0	0	0	9	0	0	0	0	0	0	0
ASV_2245	0	0	0	0	0	0	18	15	0	0	0	11	0	0	0	0	0	0
ASV_2246	0	0	0	0	0	0	15	0	0	0	8	16	5	0	0	0	0	0
ASV_2247	0	0	0	0	0	0	10	34	0	0	0	0	0	0	0	0	0	0
ASV_2248	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0
ASV_2249	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0
ASV_2250	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0
ASV_2251	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0
ASV_2252	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0
ASV_2253	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0
ASV_2254	0	0	0	0	0	0	0	33	0	0	0	0	11	0	0	0	0	0
ASV_2255	0	0	0	0	0	0	0	24	12	8	0	0	0	0	0	0	0	0
ASV_2256	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0
ASV_2257	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0
ASV_2258	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2259	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2260	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2261	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2262	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2263	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2264	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2265	0	0	0	0	34	0	0	0	0	0	0	0	9	0	0	0	0	0
ASV_2266	0	0	0	0	22	0	10	0	0	0	0	0	11	0	0	0	0	0
ASV_2267	0	0	0	0	12	0	0	16	0	0	0	0	15	0	0	0	0	0
ASV_2268	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2269	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2270	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0
ASV_2271	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0
ASV_2272	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0
ASV_2273	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0
ASV_2274	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0
ASV_2275	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0
ASV_2276	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0
ASV_2277	0	0	0	0	0	0	0	30	0	0	0	13	0	0	0	0	0	0
ASV_2278	0	0	0	0	0	0	0	27	0	0	0	16	0	0	0	0	0	0
ASV_2279	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0
ASV_2280	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0
ASV_2281	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0
ASV_2282	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0
ASV_2283	0	0	0	0	0	0	0	0	0	33	10	0	0	0	0	0	0	0
ASV_2284	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0
ASV_2285	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0
ASV_2286	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0
ASV_2287	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2288	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2289	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2290	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2291	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2292	35	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ASV_2293	17	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2294	16	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0
ASV_2295	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2296	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	18	0	0
ASV_2297	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2298	0	0	0	0	15	0	0	0	0	0	0	0	27	0	0	0	0	0
ASV_2299	0	0	0	0	11	0	3	0	0	0	0	0	28	0	0	0	0	0
ASV_2300	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2301	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ASV_2302	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ASV_2303	0	0	0	0	0	0	14	28	0	0	0	0	0	0	0	0	0	0
ASV_2304	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0
ASV_2305	0	0	0	0	0	0	0	10	0	0	0	16	16	0	0	0	0	0
ASV_2306	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0
ASV_2307	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0
ASV_2308	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2309	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2310	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2311	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2312	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2313	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2314	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2315	34	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ASV_2316	24	0	0	0	5	0	0	0	0	0	0	12	0	0	0	0	0	0
ASV_2317	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2318	0	0	0	0	20	0	0	0	0	0	21	0	0	0	0	0	0	0
ASV_2319	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2320	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2321	0	0	0	0	0	0	31	0	0	0	0	10	0	0	0	0	0	0
ASV_2322	0	0	0	0	0	0	17	0	0	0	0	0	24	0	0	0	0	0
ASV_2323	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0
ASV_2324	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0
ASV_2325	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0
ASV_2326	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0
ASV_2327	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0
ASV_2328	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0
ASV_2329	0	0	0	0	0	0	0	36	0	0	0	5	0	0	0	0	0	0
ASV_2330	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0
ASV_2331	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0
ASV_2332	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0
ASV_2333	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0
ASV_2334	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0
ASV_2335	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0
ASV_2336	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0
ASV_2337	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0
ASV_2338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	29	0
ASV_2339	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2340	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2341	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2342	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2343	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2344	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2345	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2346	21	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0
ASV_2347	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2348	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2349	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2350	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0
ASV_2351	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0
ASV_2352	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0
ASV_2353	0	0	0	0	0	0	26	0	0	0	0	14	0	0	0	0	0	0
ASV_2354	0	0	0	0	0	0	16	24	0	0	0	0	0	0	0	0	0	0
ASV_2355	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0
ASV_2356	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0
ASV_2357	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0
ASV_2358	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0
ASV_2359	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0
ASV_2360	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0
ASV_2361	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0
ASV_2362	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0
ASV_2363	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0
ASV_2364	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0
ASV_2365	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0
ASV_2366	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0
ASV_2367	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
ASV_2368	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
ASV_2369	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
ASV_2370	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
ASV_2371	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
ASV_2372	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2373	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2374	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2375	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2376	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2377	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2378	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2379	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2380	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2381	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2382	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2383	34	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ASV_2384	32	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2385	14	0	0	0	7	0	0	0	0	0	0	0	18	0	0	0	0	0
ASV_2386	8	0	0	0	0	0	19	0	0	0	12	0	0	0	0	0	0	0
ASV_2387	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	14	0
ASV_2388	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2389	0	0	0	0	20	0	0	0	0	19	0	0	0	0	0	0	0	0
ASV_2390	0	0	0	0	16	0	0	0	0	0	0	0	23	0	0	0	0	0
ASV_2391	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2392	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0
ASV_2393	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0
ASV_2394	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0
ASV_2395	0	0	0	0	0	0	25	0	0	14	0	0	0	0	0	0	0	0
ASV_2396	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0
ASV_2397	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0
ASV_2398	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0
ASV_2399	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0
ASV_2400	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0
ASV_2401	0	0	0	0	0	0	0	25	0	0	0	14	0	0	0	0	0	0
ASV_2402	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0
ASV_2403	0	0	0	0	0	0	0	0	10	29	0	0	0	0	0	0	0	0
ASV_2404	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0
ASV_2405	0	0	0	0	0	0	0	0	0	22	0	0	0	17	0	0	0	0
ASV_2406	0	0	0	0	0	0	0	0	0	0	23	16	0	0	0	0	0	0
ASV_2407	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0
ASV_2408	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2409	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2410	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2411	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2412	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2413	29	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
ASV_2414	0	7	0	0	0	0	0	0	0	0	0	0	0	0	20	11	0	0
ASV_2415	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2416	0	0	0	0	17	0	0	0	0	21	0	0	0	0	0	0	0	0
ASV_2417	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2418	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2419	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2420	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2421	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2422	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0
ASV_2423	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0
ASV_2424	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0
ASV_2425	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0
ASV_2426	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0
ASV_2427	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0
ASV_2428	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0
ASV_2429	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0
ASV_2430	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0
ASV_2431	0	0	0	0	0	0	0	0	19	0	0	0	19	0	0	0	0	0
ASV_2432	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0
ASV_2433	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0
ASV_2434	0	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0
ASV_2435	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0
ASV_2436	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0
ASV_2437	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2438	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2439	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2440	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2441	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2442	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2443	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2444	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0
ASV_2445	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0
ASV_2446	0	0	0	0	0	0	11	0	0	0	0	0	26	0	0	0	0	0
ASV_2447	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0
ASV_2448	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0
ASV_2449	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0
ASV_2450	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0
ASV_2451	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0
ASV_2452	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0
ASV_2453	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0
ASV_2454	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0
ASV_2455	0	0	0	0	0	0	0	34	0	0	0	3	0	0	0	0	0	0
ASV_2456	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0
ASV_2457	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0
ASV_2458	0	0	0	0	0	0	0	0	0	16	0	21	0	0	0	0	0	0
ASV_2459	0	0	0	0	0	0	0	0	0	0	13	0	24	0	0	0	0	0
ASV_2460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0
ASV_2461	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2462	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2463	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2464	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2465	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2466	30	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
